Date,High,Low,Close,symbol
2021-12-24 13:45:00,3.857e-05,3.836e-05,3.839e-05,SHIBUSDT
2021-12-24 14:00:00,3.872e-05,3.831e-05,3.866e-05,SHIBUSDT
2021-12-24 14:15:00,3.868e-05,3.85e-05,3.862e-05,SHIBUSDT
2021-12-24 14:30:00,3.868e-05,3.85e-05,3.863e-05,SHIBUSDT
2021-12-24 14:45:00,3.869e-05,3.807e-05,3.815e-05,SHIBUSDT
2021-12-24 15:00:00,3.814e-05,3.653e-05,3.711e-05,SHIBUSDT
2021-12-24 15:15:00,3.743e-05,3.712e-05,3.739e-05,SHIBUSDT
2021-12-24 15:30:00,3.75e-05,3.722e-05,3.736e-05,SHIBUSDT
2021-12-24 15:45:00,3.778e-05,3.723e-05,3.773e-05,SHIBUSDT
2021-12-24 16:00:00,3.816e-05,3.763e-05,3.793e-05,SHIBUSDT
2021-12-24 16:15:00,3.802e-05,3.772e-05,3.784e-05,SHIBUSDT
2021-12-24 16:30:00,3.789e-05,3.726e-05,3.732e-05,SHIBUSDT
2021-12-24 16:45:00,3.759e-05,3.728e-05,3.747e-05,SHIBUSDT
2021-12-24 17:00:00,3.768e-05,3.727e-05,3.741e-05,SHIBUSDT
2021-12-24 17:15:00,3.743e-05,3.706e-05,3.724e-05,SHIBUSDT
2021-12-24 17:30:00,3.746e-05,3.717e-05,3.745e-05,SHIBUSDT
2021-12-24 17:45:00,3.766e-05,3.736e-05,3.746e-05,SHIBUSDT
2021-12-24 18:00:00,3.764e-05,3.741e-05,3.76e-05,SHIBUSDT
2021-12-24 18:15:00,3.784e-05,3.752e-05,3.761e-05,SHIBUSDT
2021-12-24 18:30:00,3.773e-05,3.755e-05,3.769e-05,SHIBUSDT
2021-12-24 13:45:00,51171.74,51003.85,51040.49,BTCUSDT
2021-12-24 14:00:00,51243.97,51000.01,51241.39,BTCUSDT
2021-12-24 14:15:00,51244.22,51059.04,51095.05,BTCUSDT
2021-12-24 14:30:00,51170.0,51060.41,51149.21,BTCUSDT
2021-12-24 14:45:00,51189.99,50668.52,50760.99,BTCUSDT
2021-12-24 15:00:00,50768.63,50384.43,50679.45,BTCUSDT
2021-12-24 15:15:00,50868.21,50638.83,50833.78,BTCUSDT
2021-12-24 15:30:00,50864.78,50720.0,50780.01,BTCUSDT
2021-12-24 15:45:00,50987.2,50721.92,50956.68,BTCUSDT
2021-12-24 16:00:00,51220.0,50900.0,51163.66,BTCUSDT
2021-12-24 16:15:00,51220.0,51025.01,51148.81,BTCUSDT
2021-12-24 16:30:00,51169.49,50847.04,50858.94,BTCUSDT
2021-12-24 16:45:00,50987.54,50826.08,50926.97,BTCUSDT
2021-12-24 17:00:00,50981.12,50822.29,50873.0,BTCUSDT
2021-12-24 17:15:00,50875.01,50735.87,50766.64,BTCUSDT
2021-12-24 17:30:00,50935.26,50766.63,50910.0,BTCUSDT
2021-12-24 17:45:00,51116.31,50890.0,51112.83,BTCUSDT
2021-12-24 18:00:00,51200.0,51072.16,51144.19,BTCUSDT
2021-12-24 18:15:00,51283.09,51084.54,51191.53,BTCUSDT
2021-12-24 18:30:00,51262.67,51174.2,51250.09,BTCUSDT
2021-12-24 13:45:00,4110.03,4085.07,4086.51,ETHUSDT
2021-12-24 14:00:00,4113.5,4085.31,4111.5,ETHUSDT
2021-12-24 14:15:00,4112.28,4098.0,4100.27,ETHUSDT
2021-12-24 14:30:00,4106.18,4097.21,4103.16,ETHUSDT
2021-12-24 14:45:00,4112.4,4070.93,4078.36,ETHUSDT
2021-12-24 15:00:00,4078.63,4048.22,4069.37,ETHUSDT
2021-12-24 15:15:00,4085.0,4069.0,4081.44,ETHUSDT
2021-12-24 15:30:00,4085.01,4075.0,4081.57,ETHUSDT
2021-12-24 15:45:00,4095.11,4073.92,4094.23,ETHUSDT
2021-12-24 16:00:00,4108.98,4091.83,4104.24,ETHUSDT
2021-12-24 16:15:00,4108.0,4094.26,4099.53,ETHUSDT
2021-12-24 16:30:00,4100.0,4076.94,4079.18,ETHUSDT
2021-12-24 16:45:00,4089.31,4073.31,4086.06,ETHUSDT
2021-12-24 17:00:00,4090.0,4075.13,4085.84,ETHUSDT
2021-12-24 17:15:00,4085.85,4071.0,4075.2,ETHUSDT
2021-12-24 17:30:00,4085.79,4074.07,4085.0,ETHUSDT
2021-12-24 17:45:00,4098.55,4082.26,4098.08,ETHUSDT
2021-12-24 18:00:00,4103.26,4093.93,4097.97,ETHUSDT
2021-12-24 18:15:00,4104.79,4093.18,4100.2,ETHUSDT
2021-12-24 18:30:00,4103.5,4099.15,4103.42,ETHUSDT
